"idx_epoch : 0, loss_pre : 136.0414276123047, loss_aft : 137.1154022216797, dif : 1.073974609375"
67,0,-0.01,66,False
73,0,-0.01,72,False
67,3,-100,58,True
76,3,-0.01,67,False
65,1,-0.01,74,False
67,2,-0.01,68,False
65,2,-0.01,66,False
76,2,-0.01,77,False
79,2,-0.01,80,False
67,0,-0.01,66,False
76,3,-0.01,67,False
74,3,-0.01,65,False
66,0,-0.01,65,False
85,3,-0.01,76,False
85,3,-0.01,76,False
76,0,-0.01,75,False
76,3,-0.01,67,False
79,2,-0.01,80,False
76,3,-0.01,67,False
69,1,-0.01,78,False
77,1,-100,86,True
67,0,-0.01,66,False
75,3,-0.01,66,False
76,3,-0.01,67,False
75,0,-0.01,74,False
85,3,-0.01,76,False
85,3,-0.01,76,False
68,1,-0.01,77,False
76,3,-0.01,67,False
66,1,-0.01,75,False
76,3,-0.01,67,False
77,0,-0.01,76,False
66,0,-0.01,65,False
79,2,-0.01,80,False
67,1,-0.01,76,False
77,0,-0.01,76,False
46,0,-100,45,True
85,3,-0.01,76,False
55,2,-100,56,True
85,3,-0.01,76,False
85,3,-0.01,76,False
78,2,-0.01,79,False
69,1,-0.01,78,False
67,2,-0.01,68,False
77,2,-0.01,78,False
76,0,-0.01,75,False
76,0,-0.01,75,False
77,3,-0.01,68,False
85,3,-0.01,76,False
77,0,-0.01,76,False
66,1,-0.01,75,False
67,0,-0.01,66,False
66,0,-0.01,65,False
74,3,-0.01,65,False
67,0,-0.01,66,False
76,3,-0.01,67,False
65,2,-0.01,66,False
66,1,-0.01,75,False
66,0,-0.01,65,False
85,3,-0.01,76,False
77,1,-100,86,True
85,3,-0.01,76,False
76,0,-0.01,75,False
65,0,-0.01,64,False
67,1,-0.01,76,False
85,3,-0.01,76,False
75,3,-0.01,66,False
76,0,-0.01,75,False
77,3,-0.01,68,False
76,2,-0.01,77,False
74,1,-100,83,True
66,1,-0.01,75,False
55,3,-0.01,46,False
76,0,-0.01,75,False
77,1,-100,86,True
76,3,-0.01,67,False
66,1,-0.01,75,False
66,0,-0.01,65,False
85,3,-0.01,76,False
68,3,-0.01,59,False
66,0,-0.01,65,False
77,2,-0.01,78,False
55,3,-0.01,46,False
68,3,-0.01,59,False
76,3,-0.01,67,False
66,2,-0.01,67,False
67,0,-0.01,66,False
75,0,-0.01,74,False
65,3,-100,56,True
76,3,-0.01,67,False
76,3,-0.01,67,False
65,1,-0.01,74,False
37,1,-0.01,46,False
76,3,-0.01,67,False
74,1,-100,83,True
57,0,-100,56,True
74,3,-0.01,65,False
65,1,-0.01,74,False
67,0,-0.01,66,False
66,0,-0.01,65,False
37,3,-0.01,28,False
74,3,-0.01,65,False
28,1,-0.01,37,False
65,0,-0.01,64,False
66,0,-0.01,65,False
64,3,-0.01,55,False
67,0,-0.01,66,False
64,3,-0.01,55,False
37,3,-0.01,28,False
46,3,-0.01,37,False
76,3,-0.01,67,False
55,3,-0.01,46,False
65,2,-0.01,66,False
66,0,-0.01,65,False
85,3,-0.01,76,False
28,0,150,27,True
65,1,-0.01,74,False
65,2,-0.01,66,False
65,1,-0.01,74,False
85,3,-0.01,76,False
65,1,-0.01,74,False
74,3,-0.01,65,False
28,0,150,27,True
65,2,-0.01,66,False
46,3,-0.01,37,False
66,0,-0.01,65,False
37,3,-0.01,28,False
74,3,-0.01,65,False

"idx_epoch : 1, loss_pre : 135.53866577148438, loss_aft : 134.02781677246094, dif : -1.5108489990234375"
65,2,-0.01,66,False
66,0,-0.01,65,False
66,3,-0.01,57,False
77,3,-0.01,68,False
68,0,-0.01,67,False
66,0,-0.01,65,False
72,0,-100,71,True
76,3,-0.01,67,False
76,3,-0.01,67,False
77,3,-0.01,68,False
75,3,-0.01,66,False
75,3,-0.01,66,False
76,3,-0.01,67,False
68,1,-0.01,77,False
76,2,-0.01,77,False
37,3,-0.01,28,False
85,3,-0.01,76,False
66,0,-0.01,65,False
74,0,-0.01,73,False
66,0,-0.01,65,False
65,0,-0.01,64,False
65,2,-0.01,66,False
55,3,-0.01,46,False
85,3,-0.01,76,False
67,0,-0.01,66,False
76,2,-0.01,77,False
65,2,-0.01,66,False
67,1,-0.01,76,False
37,3,-0.01,28,False
67,3,-100,58,True
76,0,-0.01,75,False
67,2,-0.01,68,False
75,0,-0.01,74,False
21,1,-0.01,30,False
66,2,-0.01,67,False
65,1,-0.01,74,False
85,3,-0.01,76,False
65,2,-0.01,66,False
76,0,-0.01,75,False
65,0,-0.01,64,False
65,1,-0.01,74,False
63,0,-100,62,True
67,0,-0.01,66,False
73,0,-0.01,72,False
73,3,-0.01,64,False
66,1,-0.01,75,False
76,3,-0.01,67,False
66,0,-0.01,65,False
57,0,-100,56,True
67,1,-0.01,76,False
66,0,-0.01,65,False
76,0,-0.01,75,False
72,0,-100,71,True
68,1,-0.01,77,False
66,0,-0.01,65,False
66,0,-0.01,65,False
78,3,-0.01,69,False
75,3,-0.01,66,False
68,1,-0.01,77,False
65,2,-0.01,66,False
75,2,-0.01,76,False
67,0,-0.01,66,False
85,3,-0.01,76,False
76,3,-0.01,67,False
77,3,-0.01,68,False
79,2,-0.01,80,False
75,3,-0.01,66,False
76,3,-0.01,67,False
77,0,-0.01,76,False
78,2,-0.01,79,False
76,0,-0.01,75,False
28,1,-0.01,37,False
85,3,-0.01,76,False
77,3,-0.01,68,False
65,1,-0.01,74,False
73,0,-0.01,72,False
76,0,-0.01,75,False
78,2,-0.01,79,False
74,3,-0.01,65,False
68,0,-0.01,67,False
76,3,-0.01,67,False
73,3,-0.01,64,False
72,1,-100,81,True
76,3,-0.01,67,False
66,1,-0.01,75,False
78,3,-0.01,69,False
67,0,-0.01,66,False
75,0,-0.01,74,False
65,2,-0.01,66,False
75,0,-0.01,74,False
76,3,-0.01,67,False
76,3,-0.01,67,False
65,0,-0.01,64,False
76,1,-100,85,True
77,2,-0.01,78,False
64,3,-0.01,55,False
67,0,-0.01,66,False
66,0,-0.01,65,False
66,0,-0.01,65,False
67,0,-0.01,66,False
65,0,-0.01,64,False
28,1,-0.01,37,False
65,0,-0.01,64,False
76,3,-0.01,67,False
74,3,-0.01,65,False
28,0,150,27,True
64,3,-0.01,55,False
85,3,-0.01,76,False
37,3,-0.01,28,False
