"loss_pre : 2.3215134143829346, loss_aft : 0.9880644083023071, dif : -1.3334490060806274"
-0.90900004,-0.57507044,0.9280278,-1.4792567
-0.7108765,-0.28756267,0.83351487,-1.2476689
-0.764502,-0.4106642,1.1667352,-1.0357488
-1.0202787,-0.7958815,0.5859826,-1.3663312
-0.791695,-0.44329336,0.7735196,-1.5466822
-1.1120962,-0.9239866,0.7958312,-1.2835369
-0.911007,-0.5901926,0.18347244,-1.8260717
-0.9338267,-0.7321203,0.40056106,-1.5145532
-0.80410224,-0.8663594,0.8448471,-1.4631977
-0.53603244,-0.19735895,0.43730554,-0.8533835
-0.85012704,-0.86512184,0.64044976,-1.6977403
-0.43511614,-0.93287706,1.0061697,-1.4160074
-1.016588,-0.5679442,0.42798397,-1.4429667
-1.1190623,-0.51925236,0.64852846,-1.4939307
-3.356032,1.2031407,-13.517968,-6.2696257
1.8784313,-1.2521751,14.907177,5.330443
0.7596117,-0.3267926,9.318197,-2.8305874
-1.5039176,1.928076,7.125924,1.3524078
-0.629937,-0.8039915,0.931172,-0.81511736
-0.8308258,-0.45463935,0.5280564,-1.9782473
-1.0555193,-0.6875759,0.7694327,-1.4270446
-0.74891603,-0.5247965,0.78956527,-1.3266379
-0.68933624,-0.34180504,0.73821914,-1.5485083
8.340082,31.369198,11.145478,2.943814
-0.9932292,-0.7628142,0.74372435,-1.1911808
-0.88437593,-0.59224826,0.769448,-1.3749892
-0.7837508,-0.61848134,0.6018293,-1.4794693
-0.39696413,-0.7419896,0.66345596,-1.1796969
-0.83048886,-0.24507095,0.40143564,-1.7047232
-0.53205967,-0.16970798,0.35309252,-1.9016143
-0.56176317,-0.55998015,1.2302701,-1.2902088
-0.7827998,-0.4682643,1.1021914,-1.4984133
-9.563602,20.096266,-0.6142799,26.404203
-0.7572114,-0.14587623,0.9416513,-1.3756747
-7.3589664,-4.8165474,-10.51199,-0.08217612
-0.9555261,-1.0432656,0.8468839,-1.030096
-0.6222178,-0.58888113,0.81201875,-1.5362053
3.7397196,-5.2583833,5.5302258,10.627984
-0.7248899,-0.80126584,0.9765323,-0.8415579
-8.541377,29.618896,-6.4801683,-7.2092347
-0.7385097,-0.80801916,0.76685643,-1.207246
-9.532127,21.033855,-10.384157,21.781214
-0.5846091,-0.12551811,0.7660184,-1.1023394
-2.2472146,1.2966093,-11.3132305,8.401187
-0.75321674,-0.67077863,0.34029332,-1.4757309
-0.61914414,-0.60332793,0.7525142,-1.5257251
-12.009577,-0.8524866,-13.710854,4.6725783
-1.1446447,-0.58527756,0.64516217,-1.115397
-11.53708,20.02309,-10.826019,16.714962
-0.8343601,-0.3899508,0.8437046,-1.244806
-9.823151,19.031109,-2.0827632,21.40195
-0.6062346,-0.5735271,0.8085137,-1.4154117
-4.0968404,16.922083,-9.896298,-2.6317375
-0.87176645,-0.781164,0.59128916,-1.4432555
-9.472613,25.57201,20.445219,-7.192188
22.26192,22.607618,-7.634596,0.934142
-0.5701966,-0.7293306,0.40774006,-1.5087622
-9.740434,21.695324,-10.990653,20.095575
-0.9209521,-0.23243359,0.8094343,-1.2815844
-9.653605,21.734518,-8.724731,22.36926
-0.7038609,-0.7760291,0.56239176,-1.7092282
-11.438081,-22.72678,16.213223,12.514867
-15.388217,19.60348,9.316338,-4.740273
-10.470436,21.18242,19.86906,23.620443
23.309605,23.40443,21.759735,19.255297
22.799612,22.329588,23.658615,-8.583866
22.792736,22.434196,22.699299,18.76805
23.13352,23.701788,23.140604,-9.419161
22.596495,22.863562,20.986128,21.803608
22.996609,22.674175,22.368074,-9.148077
23.340662,21.488739,18.116692,14.582972
17.814617,18.118153,-13.461297,12.807843
-11.108362,-8.5079365,15.572727,22.977043
19.65188,-10.293404,20.583874,24.287046
21.571348,-9.563647,21.566612,22.13159
20.898441,-9.580322,19.552181,22.585608
20.509888,-8.851157,21.938936,23.349596
20.738136,-8.518057,22.38887,23.05931
21.49384,-8.9876995,20.51305,21.966646
20.77955,-10.54545,17.412529,19.027977
21.138214,-10.551501,-7.774934,16.499296
-0.7353093,-0.8085864,1.1824043,-1.1392905
-0.61842024,-0.5949165,0.46355724,-1.7006831
-0.39078322,-0.08257164,0.8896139,-1.3396115
-0.75242007,-0.91719264,0.79159206,-1.464433
-9.734377,-11.625103,-10.560419,22.35353
-0.36095682,-0.49230117,0.414329,-1.5105188
-0.29569784,-0.45775124,0.62590396,-1.1245646
-0.28644454,-0.12015372,1.0028968,-1.021771
-0.8972389,-0.24567902,0.34404287,-1.6776142
