"idx_epoch : 0, loss_pre : 2.2857556343078613, loss_aft : 1.9301992654800415, dif : -0.3555563688278198"
78,0,0,77,False
79,2,0,80,False
71,0,0,70,False
77,2,0,78,False
78,0,0,77,False
78,3,0,69,False
71,0,0,70,False
79,2,0,80,False
71,0,0,70,False
79,2,0,80,False
79,2,0,80,False
77,2,0,78,False
77,2,0,78,False
80,3,0,71,False
77,2,0,78,False
70,0,0,69,False
80,3,0,71,False
71,0,0,70,False
79,2,0,80,False
77,2,0,78,False
85,3,0,76,False
70,0,0,69,False
79,2,0,80,False
69,1,0,78,False
79,2,0,80,False
70,0,0,69,False
71,0,0,70,False
78,3,0,69,False
78,2,0,79,False
69,1,0,78,False
80,3,0,71,False
80,3,0,71,False
69,1,0,78,False
80,3,0,71,False
71,0,0,70,False
78,2,0,79,False
78,0,0,77,False
71,2,-10,72,True
69,1,0,78,False
69,1,0,78,False
78,2,0,79,False
78,0,0,77,False
71,0,0,70,False
77,2,0,78,False
78,0,0,77,False
80,3,0,71,False
71,0,0,70,False
61,1,0,70,False
77,2,0,78,False
80,3,0,71,False
77,1,-10,86,True
80,0,0,79,False
77,2,0,78,False
71,0,0,70,False
78,2,0,79,False
80,3,0,71,False
80,3,0,71,False
78,2,0,79,False
69,1,0,78,False
78,2,0,79,False
78,0,0,77,False
78,0,0,77,False
80,1,-10,89,True
77,2,0,78,False
78,0,0,77,False
71,0,0,70,False
71,2,-10,72,True
79,2,0,80,False
78,0,0,77,False
78,2,0,79,False
78,0,0,77,False
70,0,0,69,False
76,2,0,77,False
77,2,0,78,False
69,1,0,78,False
78,2,0,79,False
77,2,0,78,False
71,0,0,70,False
69,1,0,78,False
77,2,0,78,False
78,2,0,79,False
77,2,0,78,False
80,0,0,79,False
80,0,0,79,False
69,1,0,78,False
70,0,0,69,False
70,0,0,69,False
77,2,0,78,False
70,0,0,69,False
77,2,0,78,False
69,1,0,78,False

"idx_epoch : 1, loss_pre : 1.7135238647460938, loss_aft : 1.1500344276428223, dif : -0.5634894371032715"
78,2,0,79,False
70,0,0,69,False
76,2,0,77,False
78,0,0,77,False
71,0,0,70,False
77,2,0,78,False
78,0,0,77,False
85,3,0,76,False
77,2,0,78,False
70,0,0,69,False
80,3,0,71,False
76,2,0,77,False
77,2,0,78,False
78,0,0,77,False
78,2,0,79,False
77,2,0,78,False
69,1,0,78,False
71,0,0,70,False
80,3,0,71,False
70,0,0,69,False
69,1,0,78,False
79,0,0,78,False
78,3,0,69,False
79,1,-10,88,True
69,1,0,78,False
80,3,0,71,False
78,2,0,79,False
77,2,0,78,False
71,0,0,70,False
78,0,0,77,False
79,2,0,80,False
85,0,-10,84,True
70,0,0,69,False
76,2,0,77,False
70,0,0,69,False
78,2,0,79,False
70,0,0,69,False
78,2,0,79,False
71,0,0,70,False
80,3,0,71,False
85,3,0,76,False
71,0,0,70,False
80,3,0,71,False
77,2,0,78,False
79,2,0,80,False
