"loss_pre : 0.2669714093208313, loss_aft : 0.2633489966392517, dif : -0.00362241268157959"
0.28710467,-0.36548793,0.5675096,0.060064744
0.20492147,-0.27625683,0.22030836,0.07529859
0.41719,-0.32723892,0.22973467,-0.07249077
0.26488367,-0.15435764,0.16263421,0.046994258
0.35579836,-0.63620996,0.19450064,-0.17139018
0.26293206,-0.42217395,0.50433266,0.08616342
0.10754099,-0.26174262,0.3067328,0.049382832
0.2376859,-0.28887597,0.1637242,0.09385416
0.4265831,-0.6370983,0.31766674,-0.075103424
-7.2502832,-12.047917,-2.8385792,-7.02954
0.7005323,-4.721663,0.20773911,-8.092833
-0.65822935,-5.5299826,-1.1102049,-2.5132756
-2.3161068,-5.9764605,0.17106412,-8.390863
2.102758,-3.9888358,0.503207,-7.5434875
-0.54500216,0.6357617,-1.0015374,-6.632234
0.25546116,3.7320955,-8.463804,-4.2199945
0.23409706,-4.413222,-4.9048514,-7.3665757
-3.8428285,-13.779903,-3.7945945,-4.9008417
0.42923382,-0.5456623,0.37549227,0.08925438
-10.187532,1.9327255,-5.770149,1.4750444
3.7358196,-11.008559,-2.069177,-1.0589509
-0.34753746,0.9216445,-0.41634333,2.3469834
3.349051,-12.325322,-1.5326074,-1.7387654
-0.44267377,-0.507381,1.4910041,-0.51036733
-0.42789388,-11.130666,-0.29911375,-0.26511943
0.32681218,-3.5236573,-8.104911,-0.08216753
0.08981433,-0.33535704,0.28076082,0.032290787
0.28517833,-0.4485988,0.19876623,-0.002240978
10.088711,-4.7971363,-1.9122593,-3.1313896
0.03503022,-0.44799954,0.17590429,-0.09186662
-11.920136,4.1958365,-10.327632,-0.07469305
0.24051449,-0.2709577,0.20684011,0.16241023
-9.087143,4.6423125,-9.428579,0.039002456
0.16226043,-0.43741417,0.1730801,0.085803494
-8.728045,0.8279979,-10.135113,-1.4361924
0.22560154,-0.4763056,0.2302156,0.06112578
0.30153543,-0.69169414,0.20108585,-0.108701214
-9.507858,1.6241529,-6.231641,-0.030114844
0.19649741,-0.4438381,0.20218521,-0.09240335
-11.1704645,4.9954147,-9.428192,0.6906412
0.25107726,-0.29261035,0.47480425,0.14096373
-11.276971,0.968646,-10.508688,0.56451464
0.3269664,-0.5012277,0.55859196,0.13657132
-11.220317,0.4911118,-9.241623,-1.5625994
0.20398077,-0.44451153,0.15644999,-0.038497124
0.32814914,-0.5844951,0.42194274,-0.19154365
-9.140716,3.7697008,-5.810598,-1.2468055
0.43199623,-0.36563605,0.53101546,0.10405778
-12.710538,2.9054265,-8.401203,0.18339229
0.3763194,-0.33773068,0.3224759,0.072078094
-10.887136,3.2977188,-11.454343,1.2099453
0.2849722,-0.53573215,0.2280146,0.020072628
-5.6198583,3.971743,-4.713779,1.2288495
0.24049328,-0.39268225,0.20804775,-0.009780727
-5.3930364,1.2182473,-4.3089023,-5.3128457
-2.110139,-1.6136146,-10.326405,0.18919316
0.37557065,-0.2888757,0.414974,0.12016001
-11.705331,2.6338432,-12.282147,0.69759864
0.43756375,-0.52003235,0.41668397,0.06225271
-11.736863,2.6253524,-11.69531,1.1557158
0.2731339,-0.45594105,0.16631287,-0.14198402
-9.123994,0.3799336,-3.8247066,-0.9108708
-2.9778209,-0.84507525,-8.531987,-4.35138
-9.823796,2.0050724,-2.2335517,-0.77303004
-3.3181553,-0.26336342,-2.5150182,0.20461974
-0.14259534,-4.832239,-2.65529,-6.8053813
-1.4057093,-1.9272616,-1.7810919,1.3036573
3.8694193,-7.5087156,-0.4592266,-7.0117497
-0.22991955,-1.7566183,-0.04227807,0.7688847
-0.9208313,-6.1921744,-0.18959406,-7.7339597
2.8161092,-3.85926,-2.2345703,-2.05932
-0.08661026,-2.2542982,-9.172177,-0.93220544
-9.785138,-8.889014,-5.0696273,0.18053074
6.0091286,-10.235301,0.2252219,-2.525789
0.44523263,-11.817145,-2.4821305,0.1136113
-0.9605944,-9.688398,-2.2249916,1.2676562
4.681019,-11.907202,-0.6975893,-1.0488749
0.66255665,-10.782932,-2.875922,0.9788987
-0.78813523,-8.333994,-0.14893165,0.19390379
5.624563,-8.945627,-1.0497925,-0.9490721
-3.220295,-13.096092,-9.556753,-2.2580702
0.30852973,-0.5382778,0.27844137,-0.004015862
0.15685616,-0.5247135,0.29871354,-0.016368449
0.21534707,-0.6469786,0.1943859,-0.01433803
0.22257975,-0.44368452,0.18378365,0.02315771
4.4392743,-4.809221,5.143396,0.009661267
0.34887105,-0.3965165,0.2657515,-0.08218701
0.3713549,-0.55702984,0.35705957,-0.0027508917
0.29708794,-0.276847,0.21776776,-0.04291648
0.3109145,-0.4922308,0.15429468,0.008574065
