"loss_pre : 1.7983849048614502, loss_aft : 0.5043463110923767, dif : -1.2940385937690735"
-0.15048231,-0.6023061,0.13069177,0.1966668
-0.08006492,-0.5339862,-0.11522055,0.18707018
0.007037044,-0.44463593,-0.09805073,0.05867725
0.03954811,-0.32524806,-0.06422893,0.058455102
0.11323196,-0.6975373,0.11497895,0.020031199
0.035893697,-0.61520654,0.27424183,0.09770439
-0.086050555,-0.44415805,0.015021913,0.10240869
0.020984236,-0.5490046,-0.026732491,0.19715288
0.14050518,-0.7290091,0.16044569,-0.029839657
-5.978728,-2.9985623,-2.5538073,-8.596149
2.7359912,0.50521713,1.9672437,-11.995058
-2.2128181,3.420761,-1.5119033,-5.020134
3.1808617,2.1767066,3.3086867,-8.91343
2.1754148,1.5535691,6.384713,-9.344485
-1.7496998,4.0683966,1.6097821,-7.4293003
-3.2520785,4.9052715,-1.1936027,-5.9539914
-1.1621048,-1.3548471,0.7941009,-10.842424
-2.065514,-9.485265,-4.0246034,-3.176402
0.23998612,-0.6435554,0.21915212,0.2511224
-9.2985735,-2.1040874,1.227192,-0.77501357
3.7891853,-11.591049,1.4834335,-0.6577182
-2.4251492,0.49013847,1.9789832,1.6529458
2.6775312,-11.623694,1.162031,-0.76750064
-3.4787977,-0.82815677,-0.875665,-0.2581938
1.3347882,-10.320156,1.3331791,-0.84073895
-0.7852879,-2.4609442,-9.668397,0.48199588
-0.17191485,-0.48445112,0.00151366,0.07512333
-0.023555685,-0.56818503,-0.0110376915,0.010301944
12.43488,-1.1027033,-2.9698474,-4.089526
-0.20551309,-0.49812233,0.009064218,0.023397531
-8.59778,3.0690584,-9.228828,-0.46756196
-0.0016679468,-0.42202216,0.036802404,0.19634463
-9.846586,2.6028886,-7.089883,0.20697829
-0.14253436,-0.59458995,-0.04727885,0.1911657
-4.4327235,-1.9185233,-7.343126,-5.1429806
0.023450136,-0.53113157,-0.10534844,0.06925522
0.16293088,-0.6790691,0.029272774,-0.008651095
-4.333077,3.3844929,-4.2488284,-1.136828
0.047525857,-0.5130276,-0.06993496,0.0013619382
-9.508878,3.7706769,-10.698814,-3.8753495
0.075824924,-0.38023174,0.2340839,0.19303527
-8.366366,0.7077165,-10.918053,0.51288456
0.0571431,-0.66479796,0.27760306,0.27077276
-7.8260703,-1.6232625,-9.72272,-2.1406944
0.0970821,-0.50825083,-0.013341639,-0.052573364
0.058985878,-0.6041414,0.2909657,-0.08978302
-7.8920426,2.7084823,-5.9325733,-2.038075
0.17758408,-0.52743876,0.17692532,0.24997114
-9.324512,0.30338532,-7.7150626,0.9856197
0.17182463,-0.50672585,0.053076375,0.18151018
-8.126403,0.8522228,-9.99909,2.8995304
0.027732674,-0.57317364,0.07189022,0.08826992
-5.2549176,0.58457065,-9.106487,1.0241911
0.08830502,-0.48297864,-0.04266034,0.090662055
-5.2080927,4.1036806,6.341469,-3.8001192
-3.2214725,-0.14870864,-9.15104,3.380999
0.123451434,-0.502362,0.24347527,0.18454707
-10.606217,0.4272812,-8.497532,2.696765
0.059468064,-0.636139,0.3086479,0.113059595
-8.502731,-0.51655173,-7.3031244,2.6650498
0.0827388,-0.5010412,0.017812584,-0.024721889
-8.609198,-0.049651787,-1.3614823,-3.428194
2.6182,3.468872,-8.640458,-2.8012428
-8.401041,2.4706268,-2.5547004,-0.00042304397
0.75099003,0.076883405,-0.22914511,3.096695
1.8397399,0.60292304,8.662211,-7.539511
5.839673,1.6267042,1.65075,2.2214816
1.6416588,-0.892624,3.6772513,-5.9504757
1.0427577,-1.7198647,-1.5330825,1.8281721
0.3379511,-1.0079612,4.2948422,-6.6613116
1.1500194,1.9951885,-0.92118764,-3.9899049
0.52043223,0.4558975,-8.273766,1.0276091
-6.606473,-8.239211,3.0886676,0.16188982
0.017832205,-10.305164,-0.99014056,1.3666449
1.1998031,-9.780666,1.0326387,2.119264
1.6764727,-10.213202,6.395127,2.5821097
-0.11838744,-9.739281,3.5812666,1.7750003
0.20882887,-10.861698,2.3329964,2.7465532
-1.9674369,-11.736756,2.1347785,2.1934128
0.9710587,-9.7509165,-0.11486545,-1.4241692
1.1890655,-6.8645077,-8.87618,-0.631264
0.05226141,-0.55738187,0.10048699,-0.02530763
0.09799677,-0.6146105,0.09877162,0.06924598
-0.046999797,-0.74703413,0.105921164,0.17403765
-0.07666052,-0.5473188,-0.023772426,0.06910567
4.576295,-3.2429945,3.2273328,1.3909224
0.097935826,-0.6038414,0.10981394,0.034913633
0.06087784,-0.6077262,0.2059068,0.018087747
-0.024430543,-0.44587052,0.03231034,0.020471748
0.21354388,-0.5581871,-0.11690047,0.1435614
