"idx_epoch : 0, loss_pre : 0.46132391691207886, loss_aft : 0.31858816742897034, dif : -0.14273574948310852"
79,2,0,80,False
41,3,0,32,False
61,1,0,70,False
79,2,0,80,False
41,3,0,32,False
80,0,0,79,False
77,2,0,78,False
79,2,0,80,False
70,3,0,61,False
79,2,0,80,False
80,0,0,79,False
79,2,0,80,False
41,3,0,32,False
80,0,0,79,False
80,0,0,79,False
79,2,0,80,False
70,3,0,61,False
79,2,0,80,False
79,2,0,80,False
77,2,0,78,False
71,3,0,62,False
79,2,0,80,False
70,3,0,61,False
78,2,0,79,False
79,2,0,80,False
80,0,0,79,False
80,2,-10,81,True
79,2,0,80,False
80,0,0,79,False
79,2,0,80,False
79,2,0,80,False
80,0,0,79,False
61,1,0,70,False
85,3,0,76,False
79,2,0,80,False
80,2,-10,81,True
79,2,0,80,False
80,0,0,79,False
80,0,0,79,False
80,0,0,79,False
61,1,0,70,False
80,0,0,79,False
32,1,0,41,False
61,1,0,70,False
61,1,0,70,False
80,0,0,79,False
80,2,-10,81,True
41,3,0,32,False
76,1,-10,85,True
79,2,0,80,False
79,2,0,80,False
79,2,0,80,False
61,1,0,70,False
76,2,0,77,False
79,2,0,80,False
80,0,0,79,False
61,1,0,70,False
61,1,0,70,False
32,1,0,41,False
79,2,0,80,False
61,1,0,70,False
79,2,0,80,False
76,2,0,77,False
78,2,0,79,False
79,2,0,80,False
70,3,0,61,False
80,0,0,79,False
79,2,0,80,False
79,2,0,80,False
61,1,0,70,False
41,3,0,32,False
80,0,0,79,False
80,0,0,79,False
80,0,0,79,False
80,0,0,79,False
79,2,0,80,False
32,1,0,41,False
79,2,0,80,False
80,0,0,79,False
32,0,-10,31,True
79,2,0,80,False
79,2,0,80,False
61,1,0,70,False
43,2,-10,44,True
41,3,0,32,False
70,3,0,61,False
80,0,0,79,False
80,0,0,79,False
80,0,0,79,False
79,2,0,80,False
79,2,0,80,False

"idx_epoch : 1, loss_pre : 0.29448503255844116, loss_aft : 0.2586246132850647, dif : -0.035860419273376465"
80,0,0,79,False
32,1,0,41,False
79,1,-10,88,True
70,3,0,61,False
79,2,0,80,False
79,2,0,80,False
62,0,0,61,False
61,1,0,70,False
62,0,0,61,False
80,0,0,79,False
32,1,0,41,False
79,2,0,80,False
79,2,0,80,False
61,1,0,70,False
79,2,0,80,False
79,2,0,80,False
32,1,0,41,False
70,3,0,61,False
80,2,-10,81,True
61,1,0,70,False
61,1,0,70,False
79,2,0,80,False
80,0,0,79,False
80,0,0,79,False
80,0,0,79,False
80,2,-10,81,True
80,0,0,79,False
80,0,0,79,False
80,0,0,79,False
61,1,0,70,False
79,2,0,80,False
80,0,0,79,False
80,2,-10,81,True
79,2,0,80,False
79,2,0,80,False
79,2,0,80,False
41,3,0,32,False
80,0,0,79,False
61,1,0,70,False
78,2,0,79,False
79,2,0,80,False
80,0,0,79,False
79,2,0,80,False
79,2,0,80,False
32,1,0,41,False
85,3,0,76,False
50,3,0,41,False
78,2,0,79,False
79,2,0,80,False
80,0,0,79,False
80,0,0,79,False
80,0,0,79,False
76,2,0,77,False
80,0,0,79,False
80,0,0,79,False
79,2,0,80,False
41,3,0,32,False
70,3,0,61,False
61,1,0,70,False
70,3,0,61,False
68,3,0,59,False
79,2,0,80,False
79,2,0,80,False
61,1,0,70,False
62,0,0,61,False
79,2,0,80,False
79,2,0,80,False
61,1,0,70,False
80,0,0,79,False
41,3,0,32,False
32,1,0,41,False
61,1,0,70,False
61,1,0,70,False
80,3,0,71,False
85,3,0,76,False
41,3,0,32,False
61,1,0,70,False
79,2,0,80,False
70,3,0,61,False
76,2,0,77,False
