"loss_pre : 0.9374126195907593, loss_aft : 0.586993396282196, dif : -0.35041922330856323"
0.013647802,-0.5096883,0.5913559,0.16368431
-0.022532132,-0.48922673,0.3229862,0.102338925
0.17496464,-0.51947427,0.14125006,-0.06274306
0.18868788,-0.3775076,0.076876365,0.14650494
0.13301624,-0.8821195,0.14828724,1.2732111e-05
0.05505774,-0.7596387,0.531242,0.14213614
-0.008419666,-0.6134128,0.23794241,0.27689204
-0.07040547,-0.4315432,0.18839733,0.20229572
0.20190275,-0.80191356,0.19551948,0.00717574
-5.394752,-6.323405,-4.8143616,-4.02134
3.685592,-3.9992018,-4.872642,-3.8691506
4.8632717,-5.974582,-4.1684365,-3.743325
0.13806207,-5.77989,-2.0930517,-3.666665
3.6450882,-0.022168145,-2.6098633,-2.286039
2.3283536,2.7020876,3.9237587,-1.2412028
4.243206,4.710417,-7.37956,-4.992925
3.1140704,6.447485,-3.351616,-3.4030461
-5.775528,-10.718312,-7.284712,-5.3530173
0.19471698,-0.82322437,0.28932512,0.1934779
-10.147626,5.4888234,-4.1123924,-1.3089556
2.4552906,-8.385032,-9.043843,1.0910671
-5.2580976,6.2886543,-0.23103434,1.7919809
0.635777,-3.3886557,-1.7842315,-3.6259832
-7.711201,2.807061,1.3715031,4.2534046
-0.9162809,-10.5545845,-7.1649995,-0.3903991
-1.4221625,-2.416068,-10.9309,-2.9135225
-0.023116544,-0.44957113,0.28485548,0.10524618
0.15376516,-0.47438076,0.20926361,-0.028315946
8.729071,-5.7347536,-5.178071,0.3390681
-0.061843403,-0.63380367,0.039977387,0.048010394
-10.109364,-0.5188956,-8.841671,-2.3962781
0.11714545,-0.48708034,0.21389404,0.1299779
-8.82457,3.4934971,-7.2720814,-2.870854
-0.04164442,-0.56150234,0.13181649,0.13644873
-7.9543757,8.962894,-6.0241113,0.55853206
0.0015670154,-0.45065764,0.21380417,0.10144201
0.1670306,-0.9041919,0.11034088,0.009503894
-8.2045965,4.6597366,-2.8092365,-2.8034258
0.083390966,-0.75851953,0.114402,-0.075993955
-9.653394,6.2091613,-7.115471,-5.6122985
0.001199692,-0.54436237,0.51408535,0.19051781
-9.341772,3.9007866,-8.252787,-4.189962
0.06316112,-1.0110928,0.584172,0.2572667
-10.917421,1.9928333,-6.5615153,-5.1084366
-0.004125111,-0.5648217,0.08906627,0.059181012
0.23632516,-0.69742894,0.3117707,0.0008467566
-6.592184,12.30508,-7.261556,2.3756685
0.16622443,-0.71737057,0.56698906,0.325161
-9.074668,0.26127166,-7.6779327,-4.0509872
0.26068014,-0.6735033,0.27379024,0.1960163
-11.150472,2.059878,-8.297731,-5.730983
0.14277413,-0.9488474,0.21202496,0.12692378
-7.8976474,5.629561,-4.7295413,-4.3161125
0.06850658,-0.6590935,0.14819974,0.14823419
-0.612764,0.19842616,-2.9260402,-2.2332067
-0.15755348,7.2325535,-9.100107,-12.487828
0.2005513,-0.44274706,0.3422719,0.24391446
-12.206886,1.0804186,-7.702499,-3.9305599
0.330191,-0.692356,0.32104108,0.33637345
-9.88146,8.942479,-9.665952,-5.434734
0.1476248,-0.71568173,0.18583636,0.07236245
-6.068464,17.665155,0.2006854,-1.6534786
-0.60593474,0.17621358,-9.954705,-5.8939776
-8.908382,4.616633,0.4078024,-1.2883323
-1.1872574,-3.4908855,-0.50752425,1.9106646
1.7647904,-2.9067633,-2.4958878,-1.9566185
-2.371789,-0.6027292,-3.291621,0.6682402
1.8406007,-0.83702016,-8.736781,-3.777653
1.6651598,0.16740996,0.34138396,-1.1776096
1.6627914,-4.272062,-1.3900263,-2.692075
-1.0923873,-4.940822,-4.022594,1.7710855
-2.3342226,3.0800352,-11.37725,-8.596881
-10.810964,-9.124265,-2.9582524,0.4215155
3.6279826,-11.215939,-4.7970066,0.31717256
-3.054593,-13.116935,-5.364788,-1.8498696
2.2010057,-8.026953,-4.204775,-2.734935
-2.6918106,-11.96196,-2.4961722,-0.13633567
0.8636978,-11.524146,-3.984258,-2.8227048
2.474039,-6.2369175,-3.9581473,-1.260166
5.380595,-14.048499,-6.080016,0.80953026
-3.5363843,-3.4420085,-14.554442,-4.1883225
0.09179569,-0.70238984,0.18732892,0.13739358
0.06988824,-0.7670469,0.31389707,0.07538512
0.072627015,-1.0291467,0.09217107,0.15966354
-0.03577722,-0.7639465,0.20036018,0.12795818
4.785317,-4.553371,3.976537,2.9555173
0.30536166,-0.814368,0.16418552,0.13294548
0.27584085,-0.8937506,0.2905338,0.06900923
0.11027969,-0.22806521,0.189308,0.09090822
0.10575312,-0.8113088,0.033553295,0.14088416
