"loss_pre : 0.43334269523620605, loss_aft : 0.2202054262161255, dif : -0.21313726902008057"
0.2359134,-0.31669423,0.6054723,0.030512433
0.17154385,-0.24465892,0.24493386,0.041721232
0.35130492,-0.31450424,0.2541743,-0.1009788
0.21476313,-0.15124205,0.17541373,0.047307946
0.31740215,-0.61852115,0.192988,-0.17572674
0.22841364,-0.40269393,0.5180014,0.093779355
0.09682069,-0.26409414,0.30345708,0.009775257
0.21357717,-0.26874927,0.19465648,0.052300923
0.39293215,-0.5877524,0.326487,-0.104552075
-5.7799573,-12.279536,-3.7484071,-7.5086036
1.7866248,-4.8763285,-0.9134361,-9.029955
-0.2711587,-5.9742336,-1.5523117,-3.0507934
-1.0884359,-5.576342,-0.5424321,-9.746894
3.604172,-3.3677888,-0.3493734,-8.09949
0.7358685,0.11932546,-1.8464166,-7.0205607
0.55643153,3.6437511,-7.7009287,-4.3406663
1.5274464,-4.1467137,-5.260489,-7.0804753
-3.870124,-13.555926,-3.8692465,-4.9947586
0.37339446,-0.5039488,0.3732892,0.070063956
-9.56043,0.92909944,-5.4945755,2.403903
2.8752508,-10.862146,-2.0551915,-0.90006393
-1.2448556,1.4482836,-0.38637888,3.3394792
3.0185173,-11.152709,-1.3957663,-1.2150443
-1.5140448,-0.3600048,1.2634851,-1.2645223
-0.2339828,-10.23448,0.16446912,-0.33036104
-0.7993315,-2.5826612,-6.8061275,0.58236176
0.08220321,-0.30106604,0.31816646,0.029209048
0.26710585,-0.42858374,0.20421916,-0.017536009
9.284782,-4.8565245,-2.7244892,-3.8107297
0.00025539473,-0.43704563,0.19188286,-0.086817324
-10.690761,4.2012854,-8.343659,0.7096317
0.21371154,-0.2344832,0.22532868,0.16428126
-8.604808,4.2800813,-8.075381,1.4520018
0.13698003,-0.40284732,0.21316059,0.054088637
-8.166093,1.3093345,-8.62916,-1.5720602
0.20778984,-0.41702384,0.25242823,0.02505878
0.276107,-0.6660605,0.20721173,-0.12928635
-8.598965,1.2900441,-5.780252,0.48553947
0.16198988,-0.41212556,0.22653408,-0.111053504
-9.6673,5.264744,-7.5327888,1.1251739
0.20617051,-0.25105938,0.4809435,0.120655335
-10.60773,0.17459127,-9.368957,1.0232518
0.27154756,-0.4583646,0.5791799,0.123839006
-10.1255,0.5589602,-7.7651997,-0.93269634
0.18930458,-0.44013757,0.14709328,-0.06928191
0.30176538,-0.5758334,0.3888387,-0.21346481
-7.6496615,2.787595,-6.250044,-1.4198397
0.38341376,-0.32090348,0.5505016,0.07582735
-11.478402,1.9888678,-7.9977627,0.6845491
0.34490272,-0.3132855,0.34091505,0.03717984
-9.73764,3.430625,-9.201989,1.9131134
0.27379128,-0.5185121,0.26393867,0.009843242
-5.4127603,3.99931,-3.5816495,1.1504031
0.21264166,-0.36552876,0.22637248,-0.034334775
-4.0287023,0.86147904,-4.627916,-5.109847
-2.4476695,-0.7272752,-8.77125,1.1234323
0.34778965,-0.2687791,0.38913646,0.084653415
-9.886345,2.8437874,-9.015853,1.4759351
0.41459873,-0.5204695,0.3686879,0.045232918
-11.0123005,3.1478508,-9.864422,2.236023
0.267639,-0.43978873,0.16817382,-0.15511732
-8.545725,-0.14526916,-3.8041925,-0.94619393
-2.4795418,-0.5975174,-7.9921293,-4.108803
-8.581938,2.5419903,-1.7489973,-1.2564194
-4.020795,-0.2068704,-1.3038477,1.8919723
2.5784397,-5.166547,-2.8998196,-6.1408205
-0.9411457,1.1837438,-0.3651328,1.0915705
3.312769,-6.7506433,-1.3855962,-7.2615685
0.44389805,-1.6716369,0.49740914,0.63106364
-0.057073146,-5.941139,-0.7794021,-8.49795
2.9323099,-4.680925,-1.8744978,-2.3725955
-0.86447144,-1.7590301,-8.037139,0.4569307
-8.770221,-10.10284,-5.0907636,0.47699916
4.8202386,-10.2095995,0.9625016,-1.9364115
-0.39323017,-11.671692,-1.9933561,1.3115596
-1.6963941,-9.400733,-2.6633544,4.004693
3.782634,-11.681357,-0.9019644,-0.7715476
-0.19366631,-10.428537,-2.5906272,2.5659966
-0.9746695,-8.139778,-0.3929058,-0.07491481
5.214794,-8.942532,-0.5740026,-0.73923975
-3.833053,-12.307267,-9.1115465,-1.5092014
0.27103865,-0.52254814,0.27383947,-0.026340306
0.16125846,-0.47837228,0.27795395,-0.043625936
0.1920233,-0.61508423,0.20892577,-0.00891108
0.21075937,-0.42525718,0.22351182,0.01261634
3.8627996,-5.060379,4.133305,-1.4748374
0.33777493,-0.3767108,0.27596322,-0.094829045
0.3500096,-0.5489281,0.34931567,-0.016671546
0.29404783,-0.24790432,0.25573695,-0.054546736
0.25273326,-0.4363854,0.19425058,-0.005087487
