"idx_epoch : 0, loss_pre : 0.9950549602508545, loss_aft : 1.0294417142868042, dif : 0.03438675403594971"
54,1,0,63,False
76,2,0,77,False
76,3,0,67,False
68,1,0,77,False
78,2,0,79,False
68,3,0,59,False
74,0,0,73,False
67,0,0,66,False
78,2,0,79,False
85,3,0,76,False
85,3,0,76,False
67,0,0,66,False
66,0,0,65,False
85,3,0,76,False
73,0,0,72,False
75,3,0,66,False
68,3,0,59,False
73,3,0,64,False
59,3,0,50,False
85,3,0,76,False
74,0,0,73,False
76,1,-10,85,True
76,0,0,75,False
68,1,0,77,False
85,3,0,76,False
67,1,0,76,False
66,3,0,57,False
77,0,0,76,False
67,2,0,68,False
76,1,-10,85,True
76,3,0,67,False
77,3,0,68,False
85,3,0,76,False
64,1,0,73,False
85,3,0,76,False
85,3,0,76,False
85,3,0,76,False
76,3,0,67,False
75,1,-10,84,True
75,0,0,74,False
57,2,-10,58,True
85,3,0,76,False
73,0,0,72,False
85,3,0,76,False
66,3,0,57,False
76,0,0,75,False
30,1,0,39,False
85,3,0,76,False
65,1,0,74,False
76,3,0,67,False
85,3,0,76,False
66,0,0,65,False
85,3,0,76,False
75,0,0,74,False
76,2,0,77,False
78,0,0,77,False
77,3,0,68,False
76,2,0,77,False
77,0,0,76,False
85,3,0,76,False
76,3,0,67,False
74,3,0,65,False
85,3,0,76,False
65,3,-10,56,True
59,3,0,50,False
76,1,-10,85,True
76,3,0,67,False
77,3,0,68,False
76,3,0,67,False
67,3,-10,58,True
57,3,0,48,False
85,3,0,76,False
67,3,-10,58,True
75,3,0,66,False
67,0,0,66,False
57,3,0,48,False
74,3,0,65,False
75,0,0,74,False
76,3,0,67,False
76,2,0,77,False
75,0,0,74,False
65,3,-10,56,True
85,3,0,76,False
75,3,0,66,False
39,1,0,48,False
85,3,0,76,False
76,0,0,75,False
76,1,-10,85,True
78,0,0,77,False
76,0,0,75,False
65,2,0,66,False

"idx_epoch : 1, loss_pre : 1.1262707710266113, loss_aft : 1.4696100950241089, dif : 0.34333932399749756"
67,3,-10,58,True
85,3,0,76,False
85,3,0,76,False
77,3,0,68,False
85,3,0,76,False
75,0,0,74,False
74,1,-10,83,True
76,1,-10,85,True
78,1,-10,87,True
74,3,0,65,False
75,0,0,74,False
77,2,0,78,False
75,2,0,76,False
85,3,0,76,False
74,0,0,73,False
85,3,0,76,False
57,3,0,48,False
76,3,0,67,False
85,3,0,76,False
63,1,0,72,False
67,1,0,76,False
85,3,0,76,False
75,3,0,66,False
77,1,-10,86,True
76,2,0,77,False
69,2,0,70,False
76,3,0,67,False
67,0,0,66,False
70,1,0,79,False
76,2,0,77,False
67,1,0,76,False
76,1,-10,85,True
75,2,0,76,False
39,1,0,48,False
76,3,0,67,False
67,1,0,76,False
57,2,-10,58,True
76,1,-10,85,True
65,3,-10,56,True
85,3,0,76,False
66,3,0,57,False
67,2,0,68,False
77,1,-10,86,True
76,3,0,67,False
85,3,0,76,False
67,1,0,76,False
67,2,0,68,False
76,3,0,67,False
65,3,-10,56,True
78,1,-10,87,True
76,0,0,75,False
85,3,0,76,False
77,0,0,76,False
85,3,0,76,False
85,3,0,76,False
76,3,0,67,False
85,3,0,76,False
85,3,0,76,False
85,3,0,76,False
85,3,0,76,False
85,3,0,76,False
85,3,0,76,False
76,0,0,75,False
76,3,0,67,False
85,3,0,76,False
85,3,0,76,False
75,2,0,76,False
74,2,0,75,False
