"loss_pre : 0.886431872844696, loss_aft : 0.6569027900695801, dif : -0.22952908277511597"
-0.008967497,-0.72933596,0.2006036,0.17485063
-0.07408628,-0.4602242,0.099158406,0.17950119
0.10360063,-0.5609249,0.098629646,0.107393794
0.03417094,-0.39849123,0.1880916,0.030201353
0.043375332,-0.64169216,0.17800207,0.024431823
0.026886584,-0.53027594,0.16106132,0.15140904
0.026344756,-0.4079007,0.14194582,0.06593728
-0.06426156,-0.49033678,0.09475876,0.1262107
0.12112574,-0.76797825,0.30322814,-0.015203934
-0.0053221798,-0.5831504,0.15281385,0.10148253
0.6895968,-4.8907466,0.95248425,0.076833025
-0.57577974,10.206569,0.11033866,-2.3822029
-0.016780466,-0.5120902,0.088440165,0.06400678
-0.06359796,-0.05067721,-2.5374346,-0.6059054
2.1891687,-0.2411829,2.479337,-4.240217
-2.546132,-2.192052,-0.19643545,-4.500484
-0.44228336,2.0410047,-0.63974404,-0.08501166
0.022204034,-0.74290156,0.2495327,0.04882856
0.15581618,-0.6370496,0.20055714,0.12608384
-6.2677794,0.79255766,-3.5234742,-1.3811244
-0.45742902,-12.7289295,0.030284405,1.6002153
2.0743072,-3.4621656,3.449905,-2.0552282
0.7383912,-10.844292,1.7054389,1.0524205
-1.7943318,-6.8546014,0.33083653,1.4114364
5.6662984,-4.2029605,2.8064353,-1.0384281
-2.192473,-0.13799185,-7.6000705,2.284281
-0.07690018,-0.5344243,0.09617022,0.091336
0.061965935,-0.5404665,0.08827942,0.019751437
4.3622274,5.9744987,-0.5328227,-1.3700416
-0.106495805,-0.6093821,0.073117994,0.05772575
-7.753468,1.0605605,-5.3183727,-0.9026551
-0.081137836,-0.45232716,0.21118836,0.1472373
-7.226338,3.5464237,-8.5781,0.606252
-0.15116031,-0.62008965,0.11861813,0.20795856
-0.42205656,-2.9468722,-0.924737,2.115591
-0.022437539,-0.5940869,0.08589557,0.096506916
0.072645426,-0.6554669,0.13993244,0.10664328
-2.340199,7.739034,-3.5902884,-1.9010632
-0.014051389,-0.58343446,0.12658796,0.08330978
-9.434706,4.2051477,-8.752289,0.80337113
0.046299484,-0.46271557,0.24484779,0.16208404
-9.270035,3.2879243,-9.648973,1.0205461
0.054873925,-0.68678117,0.3765426,0.19678684
-0.4271288,-2.5893245,-0.6459991,2.344285
-0.027840568,-0.53919667,0.096870214,0.042530864
0.04117397,-0.5412542,0.25861904,-0.011357741
-7.3892956,3.8066506,-8.841641,0.14718512
0.26968223,-0.6446444,0.3017553,0.20010224
-9.4367485,3.3453999,-9.477389,1.0884864
0.027263066,-0.55163544,0.19286072,0.21108674
-8.800993,4.323797,-9.136492,1.1403067
-0.045844436,-0.5241318,0.1932306,0.11441034
-9.202175,2.4015415,-9.760275,1.4718695
0.030057292,-0.5511997,0.13950303,0.077473536
-3.2022035,5.228203,3.3833349,-7.601016
-1.4441789,-3.1278086,-6.911057,-0.00558237
0.11527482,-0.49809426,0.21668851,0.09193663
-9.497545,3.8276138,-9.9565525,1.2477937
0.054733317,-0.62280375,0.32907408,0.06930104
-9.408975,1.7831587,-9.964924,1.6363726
0.033797815,-0.47718173,0.18553838,-0.049750105
-7.986997,-0.2925388,-2.4986968,0.009783804
-0.096134074,-0.008998539,-5.083853,-3.498257
-6.6063294,2.6062996,-2.710585,-0.22896937
-0.71089906,-1.2479436,0.52105016,1.6093473
2.6332064,2.6323593,2.3649087,-7.637848
0.28241697,0.10622491,0.4982707,4.885611
2.779946,1.5947115,3.1132839,-7.1052237
2.063817,1.1116587,0.7613351,1.9186057
3.0801692,2.619439,2.719665,-7.375275
2.2687135,-1.940019,2.195172,2.7832253
-0.7970185,1.2096914,-9.802391,1.020016
-8.162075,-1.3941888,-2.0657363,1.0875796
3.1680672,-12.23312,1.301254,0.56449395
-0.99396646,-9.286059,-0.16102949,0.35986936
1.0390146,-9.816949,0.3997381,1.8613884
-0.5753135,-9.070206,2.9387083,1.442664
-3.2108054,-9.501271,0.14243907,1.2833399
1.5620773,-9.942305,-1.4605019,1.3584058
-0.16914263,-9.315036,-1.6207588,0.7176349
-1.5055244,-8.813477,-6.616668,2.1207764
0.007013726,-0.41384092,0.13232571,0.036254443
0.007092469,-0.566987,0.18444146,0.04070501
0.02443749,-0.79491305,0.1941961,0.047009215
-0.06023085,-0.5782728,0.14938416,0.12352553
1.2554234,-2.5108879,3.3979974,2.641235
0.015609801,-0.66314685,0.2883858,0.10598518
0.10381281,-0.55001724,0.22761454,0.033727758
0.050727673,-0.40316936,0.06892629,0.058094162
0.0843081,-0.7075773,0.15450217,0.15528315
