"loss_pre : 1.0106009244918823, loss_aft : 0.4810458719730377, dif : -0.5295550525188446"
0.1766586,-0.33511794,0.2627917,0.26942405
0.092694156,-0.17476767,0.051262066,0.2592508
0.22751479,-0.25560585,0.16703619,0.22911395
0.18166056,-0.12105715,0.14053755,0.14850956
0.298418,-0.40672,0.21809873,0.13865487
0.21735483,-0.26928973,0.31765443,0.28730908
0.12198233,-0.18118408,0.15992036,0.16265446
0.14342234,-0.23846191,0.11577909,0.2168096
0.31832248,-0.4844982,0.31992847,0.10839268
0.18197256,-0.32566902,0.2936717,0.22349568
0.7977774,-4.396331,1.6989198,0.4550473
-1.7881773,8.187443,-0.6326339,-1.7801352
0.14423756,-0.24116518,0.11669214,0.16778229
-1.337719,1.1288402,-3.9715526,-4.032083
1.3248832,1.6219535,2.0278838,-6.60024
-1.1604521,-0.9962919,-0.70385206,-5.051306
3.2747025,2.1325243,2.196563,-8.011504
0.21571262,-0.4827987,0.20461813,0.12564984
0.2798813,-0.37857896,0.30353427,0.18346797
-4.701365,-0.8240011,-6.9732537,-1.8574969
2.3234246,-10.053231,1.3909795,2.6410546
4.804905,1.8669437,2.6178632,-4.7888017
4.3494077,-8.220141,3.2127492,-0.16726546
-1.0906037,5.5730057,-1.6484455,-1.4252434
3.6454906,-8.924264,4.296596,0.25917128
-4.9197254,1.913098,-9.239418,1.8712925
0.11953404,-0.17377087,0.118763074,0.22639647
0.21408866,-0.24304904,0.17119525,0.16961253
2.6409771,-1.0754749,0.25913104,-3.1539273
0.05726815,-0.34621584,0.10416931,0.18364026
-9.315102,2.301499,-8.446367,0.22093925
0.14634907,-0.22784792,0.14434138,0.2589768
-6.533566,0.6694146,-9.552771,1.482968
0.09043561,-0.3497411,0.13791952,0.3470321
-0.9996311,-1.3264117,0.59318215,2.790304
0.1372075,-0.28472766,0.13527627,0.22244734
0.24769694,-0.48131195,0.20995554,0.19431971
-3.2818487,5.5652976,-3.706898,-1.8021241
0.13653423,-0.34793615,0.12838422,0.12899807
-8.443712,2.6533604,-11.3433485,0.9568403
0.15541334,-0.2359686,0.32661986,0.22491053
-9.941466,2.9315603,-11.884726,0.8479054
0.2731946,-0.37767458,0.3893019,0.32456172
-0.14538679,-1.1589277,0.3038188,0.72464174
0.12395682,-0.30322987,0.14157803,0.14629439
0.3159938,-0.37132138,0.29643863,0.0658438
-9.213612,3.4946039,-10.995285,0.38353336
0.335002,-0.30372262,0.3742717,0.33812433
-9.430308,3.4272506,-10.766357,1.3821386
0.22389652,-0.35551035,0.2583658,0.3263919
-9.942244,3.6325364,-11.363106,1.1753705
0.15792388,-0.29502985,0.17667644,0.24720998
-8.639962,3.502225,-11.709425,1.0088036
0.20324793,-0.23284975,0.14562468,0.16814168
-1.3045313,1.5636212,0.20355703,-8.192966
-5.6153655,1.321977,-10.180269,1.2458903
0.2711546,-0.2803719,0.30895975,0.19242601
-9.007328,3.216806,-11.548598,1.1415628
0.35226914,-0.39022708,0.38936704,0.22369018
-9.465257,3.13433,-11.745719,1.1608618
0.19637841,-0.2403521,0.16011736,0.067179665
-7.9246507,1.0448462,-5.4082527,0.6250918
-2.3120916,-0.47760695,-5.8947434,-4.7939525
-7.3073044,4.3628488,-6.662706,1.0898584
1.4596976,-4.0282288,2.7700179,2.3626208
4.4165287,0.3894421,4.0479503,-8.825108
0.63414997,0.54212594,0.7180352,3.8826308
3.5902493,0.19682622,2.0095897,-8.523294
0.37317798,0.0536866,0.44169918,1.9317329
2.9489963,0.35017052,2.3217008,-8.820747
-0.07354409,-2.1614757,1.7376592,3.276515
-3.479128,3.84165,-8.616325,0.7437823
-4.757731,-6.053488,-1.6258937,1.3064922
3.3572812,-10.627478,1.2412846,2.4669368
3.4697287,-10.783871,1.9169738,0.9837566
-0.7307861,-9.722802,1.0823251,1.5797694
1.5882034,-9.568166,2.08393,0.9553248
2.0955482,-7.9421015,1.2770822,1.6666226
1.9782546,-11.505311,2.0108693,0.7672492
1.589749,-9.858604,2.8975787,2.9371305
-1.2206137,-5.2768497,-6.24339,1.4873115
0.25376934,-0.27179012,0.23608087,0.16846183
0.1737842,-0.31382266,0.19142249,0.1366297
0.18972602,-0.46584636,0.2298429,0.18439701
0.17628855,-0.24115689,0.16885842,0.22909227
1.4695767,-3.2555072,2.1164188,3.3231456
0.23867236,-0.44041163,0.24590851,0.17769448
0.3011813,-0.34103337,0.36284098,0.16052076
0.18191674,-0.13058111,0.08297288,0.14904027
0.2313393,-0.36781606,0.20117447,0.23216811
