"loss_pre : 6.443861484527588, loss_aft : 4.116177558898926, dif : -2.327683925628662"
-1.5657295,-0.51563805,-1.9606615,-0.50939363
-1.1884255,0.7061473,-1.7068713,-0.25855172
-1.8228823,0.42254487,-2.2633784,-0.6015654
-0.9482673,-0.20799932,-1.5573603,0.0129753
-0.9646449,1.124656,-1.8180996,-0.09507442
-1.2173936,0.20381084,-1.8374527,-0.8613702
-0.98070097,0.90083,-1.5600399,-0.06388062
-1.485682,0.5655451,-1.9283211,-0.49332988
-1.0253683,0.25456226,-1.8692358,0.12585753
-1.4700652,0.08551649,-1.9770334,-0.09089734
-1.264914,0.3683384,-1.5370796,-0.22159688
-2.189626,0.30848733,-2.260512,-0.63073826
-1.45315,0.3265918,-1.8931385,-0.5163542
-0.9632144,0.07527551,-1.469156,-0.11992204
-1.53273,0.42627245,-1.8439236,-0.24159195
-1.261288,0.6779189,-1.817082,-0.3742438
-1.5048637,0.74697894,-2.0580573,-0.7689145
-1.2066988,0.10443956,-1.7773373,-0.4771494
-1.8571097,0.5608138,-2.421824,-1.0456051
-2.0699267,0.4580469,-2.3290176,-0.9892151
-1.7994992,-0.07727529,-1.9537433,-0.7561769
6.153984,-5.0713053,10.690981,4.4683814
6.2620916,-16.97941,4.73475,6.5072813
-0.6924521,0.66915274,-1.2658291,-0.28521714
-1.2924802,0.27567226,-2.072613,-0.8311473
-1.4601674,0.92133284,-2.1329753,-0.44345868
-1.0107477,0.0297908,-1.5793586,0.4534168
-1.1350577,0.42584577,-1.4497349,-0.18919934
-1.2036924,0.3465842,-2.2196305,-0.5729383
-2.0823476,0.36763188,-2.5425358,-1.4658768
7.4132924,2.330916,7.3767943,-8.485701
-1.0999088,0.48020533,-1.8387835,-0.05881209
-1.6425289,0.7897605,-2.120463,-0.4722203
-1.8336105,0.4121988,-2.0240967,-0.44883084
-1.0270493,0.6401225,-1.8216767,-0.4129759
-1.6407212,0.4318353,-2.154495,-1.1309534
-1.0547333,0.23537737,-2.0122824,-0.4604189
-1.4243877,0.32639092,-1.8277603,-0.49035645
-1.6583685,-0.17641628,-2.1870227,-0.4880911
5.770452,13.53065,8.632234,-6.2156854
-1.7758043,0.14867423,-2.2726603,-0.54936314
-7.4230585,-2.0884182,-8.602063,-4.0908046
-1.2341772,0.9058009,-1.6650178,-0.66150784
-1.1916946,0.023920419,-1.9177152,-0.6973642
-0.9861716,-0.008468024,-1.4844975,0.112328246
-0.30670965,1.0630293,-1.244007,0.26966652
-1.6322734,0.35933176,-2.1553257,-0.2395828
-1.8241636,0.08689174,-2.314352,-0.8355439
1.1685364,44.327847,2.4567378,7.579141
-1.6807626,0.030511878,-2.3804586,-0.7570633
-5.2417707,44.296352,-7.976518,-23.328321
-1.4623045,0.0192779,-2.1862326,-0.025037356
-24.802696,-12.08324,-23.395508,5.229744
-1.052234,0.9409673,-1.3530712,-0.045671195
-5.1148005,36.87958,-4.287406,-11.124402
11.986304,56.61609,15.518479,6.1830306
-1.7524604,0.076282,-2.2398288,-0.6136414
-7.9807563,43.35466,-8.267369,21.677668
-1.3025143,0.43237728,-2.1929495,-0.17529719
-7.5791583,43.296986,-6.722937,27.31399
-1.228633,0.93434626,-1.6841409,-0.34361285
-6.3549843,21.69594,6.471852,33.59681
0.8789974,26.506199,-1.6252135,-4.668573
4.7104325,6.052722,28.342197,8.554421
33.318626,35.859226,45.55253,37.51101
42.646233,39.322598,41.559822,-10.794893
46.416,43.87983,43.876472,39.853504
45.473755,42.54791,41.279156,-9.985826
47.74788,43.24537,44.76885,38.066353
47.752007,44.144924,39.338028,-7.9944153
47.44817,38.18966,31.4263,20.218727
5.712959,42.45478,4.080313,2.97216
13.195175,-5.401419,20.816912,32.00371
9.861042,-6.098327,21.730873,38.67064
35.50371,-10.681785,39.032047,44.25112
42.397255,-8.397503,42.198196,45.05571
43.28826,-12.743019,39.689465,45.591537
45.108395,-10.192589,41.336773,43.49729
43.889515,-12.957435,43.718006,45.201653
43.97086,-12.609166,36.611084,41.908752
31.903345,-12.190796,6.928958,10.2315645
-1.9535052,-0.21511853,-2.5329854,-0.7957958
-1.77842,0.7843955,-2.6308806,-0.99845815
-1.5593354,0.58577746,-2.1829238,-0.24070199
-1.470558,1.0987426,-1.737522,-0.09525645
45.95515,-11.0348625,40.69651,45.07538
-1.1470855,0.2296221,-1.81864,-0.13281226
-1.9780507,-0.41148126,-2.2660177,-0.25606143
-1.3996981,0.52522445,-2.0459223,-1.0365658
-0.9987025,0.043155156,-1.515871,0.2966499
